lift_from_version	lift_from_property	lift_to_version	lift_to_property	lift_from_concept	lift_to_concept	concept_relationship
v5.0.0	Medical Monitor	v5.0.2	Medical Monitor	C51836	C51836	Concept Code Match
v5.0.0	Program Specialist	v5.0.2	Program Specialist	C51850	C51850	Concept Code Match
v5.0.0	Project Officer	v5.0.2	Project Officer	C51852	C51852	Concept Code Match
v5.0.0	Protocol Chair	v5.0.2	Protocol Chair	C51854	C51854	Concept Code Match
v5.0.0	Protocol Lead Investigator	v5.0.2	Protocol Lead Investigator	C51856	C51856	Concept Code Match
v5.0.0	Protocol Review Chair	v5.0.2	Protocol Review Chair	C51857	C51857	Concept Code Match
v5.0.0	Review Liaison	v5.0.2	Review Liaison	C51865	C51865	Concept Code Match
v5.0.0	Review Specialist	v5.0.2	Review Specialist	C51866	C51866	Concept Code Match
v5.0.0	Scientific Monitor	v5.0.2	Scientific Monitor	C51869	C51869	Concept Code Match
v5.0.0	Site Leader	v5.0.2	Site Leader	C51874	C51874	Concept Code Match
v5.0.0	Study Chair	v5.0.2	Study Chair	C51878	C51878	Concept Code Match
v5.0.0	Study Chair	v5.0.2	Study Chair	C51878	C51878	Concept Code Match
v5.0.0	Contract Principal Investigator	v5.0.2	Contract Principal Investigator	C51817	C51817	Concept Code Match
v5.0.0	Funded Principal Investigator	v5.0.2	Funded Principal Investigator	C63403	C63403	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Site Coordinator	v5.0.2	Site Coordinator	C51872	C51872	Concept Code Match
v5.0.0	Software Maintenance	v5.0.2	Software Maintenance	C67227	C67227	Concept Code Match
v5.0.0	Software Development	v5.0.2	Software Development	C67226	C67226	Concept Code Match
v5.0.0	Surgical Oncologist	v5.0.2	Surgical Oncologist	C17840	C17840	Concept Code Match
v5.0.0	Physician Assistant	v5.0.2	Physician Assistant	C53423	C53423	Concept Code Match
v5.0.0	Nurse Practitioner	v5.0.2	Nurse Practitioner	C20852	C20852	Concept Code Match
v5.0.0	Oncology Nurse	v5.0.2	Oncology Nurse	C18065	C18065	Concept Code Match
v5.0.0	Medical Oncologist	v5.0.2	Medical Oncologist	C17838	C17838	Concept Code Match
v5.0.0	Primary Care Provider	v5.0.2	Primary Care Provider	C93060	C93060	Concept Code Match
v5.0.0	Primary Care Provider	v5.0.2	Primary Care Provider	C93060	C93060	Concept Code Match
v5.0.0	Primary Care Provider	v5.0.2	Primary Care Provider	C93060	C93060	Concept Code Match
v5.0.0	Primary Care Provider	v5.0.2	Primary Care Provider	C93060	C93060	Concept Code Match
v5.0.0	Gastroenterologist	v5.0.2	Gastroenterologist	C17818	C17818	Concept Code Match
v5.0.0	Nurse	v5.0.2	Nurse	C20821	C20821	Concept Code Match
v5.0.0	Nurse	v5.0.2	Nurse	C20821	C20821	Concept Code Match
v5.0.0	Infusion Procedure	v5.0.2	Infusion Procedure	C15388	C15388	Concept Code Match
v5.0.0	Clinical Nurse Specialist	v5.0.2	Clinical Nurse Specialist	C20832	C20832	Concept Code Match
v5.0.0	Interventional Radiologist	v5.0.2	Interventional Radiologist	C147951	C147951	Concept Code Match
v5.0.0	Nurse Coach	v5.0.2	Nurse Coach	C175713	C175713	Concept Code Match
v5.0.0	Coordinator	v5.0.2	Coordinator	C45284	C45284	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Principal Investigator	v5.0.2	Principal Investigator	C19924	C19924	Concept Code Match
v5.0.0	Alternative	v5.0.2	Alternative	C25415	C25415	Concept Code Match
v5.0.0	Coach	v5.0.2	Coach	C157483	C157483	Concept Code Match
v5.0.0	ENABLE	v5.0.2	ENABLE	C175704	C175704	Concept Code Match
v5.0.0	Data Submitter	v5.0.2	Data Submitter	C201979	C201979	Concept Code Match
v5.0.0	Proxy Respondent	v5.0.2	Proxy Respondent	C142652	C142652	Concept Code Match
v5.0.0	Manager	v5.0.2	Manager	C70652	C70652	Concept Code Match
v5.0.0	Or	v5.0.2	Or	C37998	C37998	Concept Code Match
v5.0.0	Supervisor	v5.0.2	Supervisor	C134832	C134832	Concept Code Match
v5.0.0	Bishop	v5.0.2	Bishop	C69162	C69162	Concept Code Match
v5.0.0	Brother	v5.0.2	Brother	C48648	C48648	Concept Code Match
v5.0.0	Chaplain	v5.0.2	Chaplain	C69163	C69163	Concept Code Match
v5.0.0	Doctor	v5.0.2	Doctor	C69164	C69164	Concept Code Match
v5.0.0	Father	v5.0.2	Father	C25174	C25174	Concept Code Match
v5.0.0	Miss	v5.0.2	Miss	C69167	C69167	Concept Code Match
v5.0.0	Mister	v5.0.2	Mister	C69166	C69166	Concept Code Match
v5.0.0	Mrs	v5.0.2	Mrs	C69168	C69168	Concept Code Match
v5.0.0	Ms	v5.0.2	Ms	C69169	C69169	Concept Code Match
v5.0.0	Professor	v5.0.2	Professor	C69170	C69170	Concept Code Match
v5.0.0	Rabbi	v5.0.2	Rabbi	C69171	C69171	Concept Code Match
v5.0.0	Reverend	v5.0.2	Reverend	C69172	C69172	Concept Code Match
v5.0.0	Sister	v5.0.2	Sister	C48649	C48649	Concept Code Match
v5.0.0	Second	v5.0.2	Second	C49463	C49463	Concept Code Match
v5.0.0	Third	v5.0.2	Third	C49464	C49464	Concept Code Match
v5.0.0	Fourth	v5.0.2	Fourth	C49465	C49465	Concept Code Match
v5.0.0	Junior	v5.0.2	Junior	C49466	C49466	Concept Code Match
v5.0.0	Senior	v5.0.2	Senior	C49467	C49467	Concept Code Match
v5.0.0	First	v5.0.2	First	C25509	C25509	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	Not Reported	v5.0.2	Not Reported	C43234	C43234	Concept Code Match
v5.0.0	American Indian or Alaska Native	v5.0.2	American Indian or Alaska Native	C41259	C41259	Concept Code Match
v5.0.0	Native Hawaiian or Other Pacific Islander	v5.0.2	Native Hawaiian or Other Pacific Islander	C41219	C41219	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Asian	v5.0.2	Asian	C41260	C41260	Concept Code Match
v5.0.0	White	v5.0.2	White	C41261	C41261	Concept Code Match
v5.0.0	Black or African American	v5.0.2	Black or African American	C16352	C16352	Concept Code Match
v5.0.0	Not Allowed To Collect	v5.0.2	Not Allowed To Collect	C141478	C141478	Concept Code Match
v5.0.0	Not Allowed To Collect	v5.0.2	Not Allowed To Collect	C141478	C141478	Concept Code Match
v5.0.0	Not Allowed To Collect	v5.0.2	Not Allowed To Collect	C141478	C141478	Concept Code Match
v5.0.0	Not Allowed To Collect	v5.0.2	Not Allowed To Collect	C141478	C141478	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
v5.0.0	Unknown	v5.0.2	Unknown	C17998	C17998	Concept Code Match
